N_unmapped	638273	638273	638273
N_multimapping	153728	153728	153728
N_noFeature	78548	4981921	4326860
N_ambiguous	923445	378041	556454
ROD_RS00010	74	0	74
ROD_RS00015	3711	18	3693
ROD_RS00020	768	1	767
ROD_RS00025	1976	66	1910
ROD_RS00030	817	665	152
ROD_RS00035	154	114	40
ROD_RS00040	12018	54	11964
ROD_RS00045	360	10	350
ROD_RS00050	288	6	282
ROD_RS00055	71	49	22
ROD_RS00060	26005	36	25969
ROD_RS00065	2635	9	2626
ROD_RS00070	35	9	26
ROD_RS00075	2	1	1
ROD_RS00080	15	11	4
ROD_RS00085	4	4	0
ROD_RS00090	311	92	219
ROD_RS28850	3	2	1
ROD_RS28855	2	0	2
ROD_RS00095	2042	8	2034
ROD_RS00100	852	5	847
ROD_RS00105	410	100	310
ROD_RS00110	22	9	13
ROD_RS00115	2461	2457	4
ROD_RS28860	22	17	5
ROD_RS00125	1560	3	1557
ROD_RS00130	14671	46	14625
ROD_RS00135	1961	3	1958
ROD_RS00140	1104	2	1102
ROD_RS00145	1188	5	1183
ROD_RS00150	252	7	245
ROD_RS00155	34	19	15
ROD_RS00160	19	13	6
ROD_RS00165	8	6	2
ROD_RS00170	6	4	2
ROD_RS00175	33	26	7
ROD_RS00180	81	6	75
ROD_RS00185	474	3	471
ROD_RS00190	2178	16	2162
ROD_RS00195	3415	16	3399
ROD_RS00200	10	1	9
ROD_RS00205	80	58	22
ROD_RS00210	79	75	4
ROD_RS00215	58	44	14
ROD_RS00220	90	80	10
ROD_RS00225	69	26	43
ROD_RS00235	40	2	38
ROD_RS00240	54	0	54
ROD_RS00245	35	2	33
ROD_RS00250	39	33	6
ROD_RS00255	5	4	1
ROD_RS00260	278	20	258
ROD_RS00265	57	0	57
ROD_RS00270	135	98	37
ROD_RS28865	4	2	2
ROD_RS00275	187	1	186
ROD_RS00280	960	3	957
ROD_RS00285	353	85	268
ROD_RS00290	1338	1234	104
ROD_RS00295	566	566	0
ROD_RS00300	2001	1995	6
ROD_RS00305	2705	2644	61
ROD_RS00310	5643	5639	4
ROD_RS00315	7087	7041	46
ROD_RS00320	712	3	709
ROD_RS00325	417	180	237
ROD_RS00330	1386	1357	29
ROD_RS00335	608	593	15
ROD_RS00340	7	0	7
ROD_RS00345	28	3	25
ROD_RS00350	25	16	9
ROD_RS00355	24	7	17
ROD_RS00360	130	1	129
ROD_RS00365	549	16	533
ROD_RS00370	159	92	67
ROD_RS00375	144	133	11
ROD_RS00380	264	258	6
ROD_RS00385	557	514	43
ROD_RS00390	11	0	11
ROD_RS00395	174	11	163
ROD_RS00400	328	309	19
ROD_RS00405	872	859	13
ROD_RS00410	1223	1214	9
ROD_RS00415	1737	1728	9
ROD_RS00425	216	2	214
ROD_RS00430	3573	11	3562
ROD_RS00435	392	16	376
ROD_RS00440	2540	14	2526
ROD_RS00445	990	3	987
ROD_RS00450	1518	8	1510
ROD_RS00455	288	8	280
ROD_RS00460	1022	9	1013
ROD_RS00465	2560	8	2552
ROD_RS00470	2396	9	2387
ROD_RS00475	1316	2	1314
ROD_RS00480	1467	6	1461
ROD_RS00485	777	2	775
ROD_RS00490	1217	7	1210
ROD_RS00495	3396	4	3392
ROD_RS00500	1250	2	1248
ROD_RS00505	397	1	396
ROD_RS00510	2680	6	2674
ROD_RS00515	13326	20	13306
ROD_RS00520	16256	19	16237
ROD_RS00525	1117	11	1106
ROD_RS00530	7290	20	7270
ROD_RS00535	223	56	167
ROD_RS00540	114	77	37
ROD_RS00545	1620	1586	34
ROD_RS00550	571	562	9
ROD_RS00555	2319	12	2307
ROD_RS00560	85	21	64
ROD_RS00565	24	12	12
ROD_RS00570	12	5	7
ROD_RS00575	2010	2005	5
ROD_RS00580	539	252	287
ROD_RS00585	433	4	429
ROD_RS00590	156	57	99
ROD_RS00595	44	14	30
ROD_RS00600	1943	1930	13
ROD_RS00605	4637	1	4636
ROD_RS00610	73324	78	73246
ROD_RS00615	33910	24	33886
ROD_RS00620	38486	30	38456
ROD_RS00625	41	12	29
ROD_RS00630	125	94	31
ROD_RS00635	9693	24	9669
ROD_RS00640	7	1	6
ROD_RS00645	19	0	19
ROD_RS00650	45	5	40
ROD_RS00655	98	0	98
ROD_RS00660	692	18	674
ROD_RS27910	86	51	35
ROD_RS00665	1483	1363	120
ROD_RS00670	1796	1744	52
ROD_RS00675	265	263	2
ROD_RS00680	443	17	426
ROD_RS00685	18	18	0
ROD_RS00690	3284	3253	31
ROD_RS00695	788	265	523
ROD_RS00700	5960	5795	165
ROD_RS00705	528	8	520
ROD_RS00710	490	6	484
ROD_RS00715	26	1	25
ROD_RS00720	224	25	199
ROD_RS00725	2843	2835	8
ROD_RS00730	3708	3693	15
ROD_RS00735	1060	1057	3
ROD_RS00740	653	630	23
ROD_RS00745	3718	3690	28
ROD_RS00750	448	422	26
ROD_RS00755	422	419	3
ROD_RS00760	472	441	31
ROD_RS00765	211	193	18
ROD_RS00770	869	13	856
ROD_RS00775	2343	91	2252
ROD_RS00780	11888	32	11856
ROD_RS00785	1217	5	1212
ROD_RS00790	1090	4	1086
ROD_RS00795	1661	90	1571
ROD_RS00800	2105	1977	128
ROD_RS00805	230	2	228
ROD_RS00810	885	20	865
ROD_RS00815	376	164	212
ROD_RS00820	541	540	1
ROD_RS00825	1445	1430	15
ROD_RS00830	1021	18	1003
ROD_RS00835	5904	6	5898
ROD_RS00840	137	26	111
ROD_RS00850	554	532	22
ROD_RS00855	5203	5178	25
ROD_RS00860	2946	2854	92
ROD_RS00865	3099	3077	22
ROD_RS00870	17985	9	17976
ROD_RS00875	10703	17	10686
ROD_RS00880	4894	5	4889
ROD_RS00885	5312	11	5301
ROD_RS00890	1785	4	1781
ROD_RS00895	648	7	641
ROD_RS00900	557	2	555
ROD_RS00905	2965	6	2959
ROD_RS00910	15898	56	15842
ROD_RS00915	6378	12	6366
ROD_RS00920	10591	16	10575
ROD_RS00925	1527	4	1523
ROD_RS00930	3676	3	3673
ROD_RS00935	1422	7	1415
ROD_RS00940	762	2	760
ROD_RS00945	4386	29	4357
ROD_RS00950	2757	0	2757
ROD_RS00955	26	0	26
ROD_RS00960	0	0	0
ROD_RS00965	0	0	0
ROD_RS00970	0	0	0
ROD_RS00975	164	35	129
ROD_RS00980	1045	16	1029
ROD_RS00985	331	2	329
ROD_RS00990	1184	33	1151
ROD_RS00995	589	563	26
ROD_RS01000	41	40	1
ROD_RS01005	361	4	357
ROD_RS01010	275	1	274
ROD_RS01015	668	1	667
ROD_RS25530	96	5	91
ROD_RS01025	275	15	260
ROD_RS01030	46	45	1
ROD_RS01035	8467	8430	37
ROD_RS01040	810	809	1
ROD_RS01045	653	649	4
ROD_RS01050	2217	2209	8
ROD_RS01055	404	391	13
ROD_RS01060	711	709	2
ROD_RS01065	869	16	853
ROD_RS01070	13	0	13
ROD_RS01075	0	0	0
ROD_RS01080	26	0	26
ROD_RS01085	9	0	9
ROD_RS01090	0	0	0
ROD_RS01100	224	162	62
ROD_RS01105	579	49	530
ROD_RS01110	671	667	4
ROD_RS01115	2655	10	2645
ROD_RS01120	369	9	360
ROD_RS01125	3580	3529	51
ROD_RS01130	477	469	8
ROD_RS01135	326	59	267
ROD_RS01140	119	115	4
ROD_RS01145	672	4	668
ROD_RS01150	45	37	8
ROD_RS01160	351	350	1
ROD_RS01165	116	97	19
ROD_RS01170	1162	9	1153
ROD_RS01175	1587	77	1510
ROD_RS01180	1572	1420	152
ROD_RS01185	49	36	13
ROD_RS01190	11	27	14
ROD_RS01195	96	22	74
ROD_RS01200	11	7	4
ROD_RS01205	20	6	14
ROD_RS01210	5	2	3
ROD_RS01215	13	9	4
ROD_RS01220	5	4	1
ROD_RS01225	7	5	2
ROD_RS01230	18	10	8
ROD_RS01235	13	6	7
ROD_RS01240	40	1	39
ROD_RS01245	25	15	10
ROD_RS01250	87	86	1
ROD_RS01255	176	167	9
ROD_RS01260	54	54	0
ROD_RS01265	175	171	4
ROD_RS01270	47	43	4
ROD_RS01275	79	76	3
ROD_RS01280	6	6	0
ROD_RS01285	33	32	1
ROD_RS01290	225	222	3
ROD_RS01295	212	207	5
ROD_RS01300	220	214	6
ROD_RS28700	22	22	0
ROD_RS01305	107	106	1
ROD_RS01310	61	60	1
ROD_RS01315	668	667	1
ROD_RS01320	10	10	0
ROD_RS01325	134	134	0
ROD_RS01330	88	87	1
ROD_RS01335	111	111	0
ROD_RS01340	561	560	1
ROD_RS01345	246	243	3
ROD_RS01350	440	430	10
ROD_RS01355	55	53	2
ROD_RS01360	150	150	0
ROD_RS01365	237	235	2
ROD_RS01370	202	197	5
ROD_RS01375	159	155	4
ROD_RS01380	179	179	0
ROD_RS01385	91	91	0
ROD_RS28575	13	11	2
ROD_RS01395	548	547	1
ROD_RS01400	104	103	1
ROD_RS01405	149	144	5
ROD_RS01410	24	14	10
ROD_RS01415	0	0	0
ROD_RS01420	279	223	56
ROD_RS01425	26	26	0
ROD_RS01430	33	16	17
ROD_RS25775	81	80	1
ROD_RS01440	91	88	3
ROD_RS01445	14	13	1
ROD_RS01450	5	5	0
ROD_RS01455	9	9	0
ROD_RS01465	15	12	3
ROD_RS01470	1	1	0
ROD_RS01475	8	8	0
ROD_RS25780	21	21	0
ROD_RS01480	40	40	0
ROD_RS01485	151	150	1
ROD_RS01490	15	15	0
ROD_RS01495	9	9	0
ROD_RS01500	30	30	0
ROD_RS27915	53	53	99
ROD_RS01505	106	105	1
ROD_RS01510	305	300	5
ROD_RS01515	10	10	0
ROD_RS01520	366	16	350
ROD_RS01525	54	3	51
ROD_RS01530	3	0	3
ROD_RS01535	3	2	1
ROD_RS01540	49	29	20
ROD_RS01545	107	26	81
ROD_RS01550	50	22	28
ROD_RS01555	20	20	0
ROD_RS01560	1	0	1
ROD_RS01565	22	21	1
ROD_RS01570	2	2	0
ROD_RS01575	1	0	1
ROD_RS01580	8	1	7
ROD_RS01585	111	74	37
ROD_RS01590	17	2	15
ROD_RS01595	42	28	14
ROD_RS01600	10	2	8
ROD_RS01605	24	4	20
ROD_RS01610	10	0	10
ROD_RS01615	89	33	56
ROD_RS01620	74	8	66
ROD_RS01625	56	26	30
ROD_RS01630	46	39	7
ROD_RS01635	57	47	10
ROD_RS01640	65	3	62
ROD_RS01645	44	22	22
ROD_RS01650	0	0	0
ROD_RS01655	1	0	1
ROD_RS01660	89	78	11
ROD_RS01665	1	0	1
ROD_RS01670	8	0	8
ROD_RS01675	58	0	58
ROD_RS01680	75	13	62
ROD_RS01685	11	3	8
ROD_RS01690	406	166	240
ROD_RS01695	9786	9687	99
ROD_RS01700	976	3	973
ROD_RS01705	1370	28	1342
ROD_RS01710	263	0	263
ROD_RS01715	172	47	125
ROD_RS01720	1580	8	1572
ROD_RS01725	3282	29	3253
ROD_RS01730	29	7	22
ROD_RS25785	2774	2716	58
ROD_RS01735	15033	14972	61
ROD_RS01740	131	1	130
ROD_RS27920	771	0	771
ROD_RS01745	202	8	194
ROD_RS28870	254	2	252
ROD_RS01750	159	4	155
ROD_RS01755	160	4	156
ROD_RS01760	72	3	69
ROD_RS01765	76	3	73
ROD_RS01770	211	48	163
ROD_RS01775	83	10	73
ROD_RS01780	1178	2	1176
ROD_RS01785	59	2	57
ROD_RS25805	8	0	8
ROD_RS01790	112	86	26
ROD_RS01795	312	293	19
ROD_RS01800	511	492	19
ROD_RS01805	107	1	106
ROD_RS01810	134	1	133
ROD_RS01815	277	39	238
ROD_RS01820	264	29	235
ROD_RS25540	489	464	25
ROD_RS01830	38	39	38
ROD_RS01835	73	71	2
ROD_RS01840	205	165	40
ROD_RS01845	136	84	52
ROD_RS01850	17	16	1
ROD_RS01855	238	237	1
ROD_RS01860	67	68	141
ROD_RS01865	60	60	0
ROD_RS01870	240	231	9
ROD_RS01875	75	64	11
ROD_RS01880	103	95	8
ROD_RS01885	127	91	36
ROD_RS01890	351	319	32
ROD_RS01895	761	755	6
ROD_RS01900	39	34	5
ROD_RS01905	3	0	3
ROD_RS01910	17	3	14
ROD_RS01915	92	4	88
ROD_RS01920	35	5	30
ROD_RS01925	537	6	531
ROD_RS01930	47	16	31
ROD_RS01935	50	45	5
ROD_RS01940	121	67	54
ROD_RS01945	28	22	6
ROD_RS01950	7	6	1
ROD_RS01955	279	0	279
ROD_RS01960	105	34	71
ROD_RS27310	7	3	4
ROD_RS01970	331	1	330
ROD_RS01975	174	6	168
ROD_RS01980	2	0	2
ROD_RS25545	351	332	19
ROD_RS01990	60	11	49
ROD_RS01995	16	12	4
ROD_RS02000	67	59	8
ROD_RS02005	37	7	30
ROD_RS02010	45	4	41
ROD_RS02015	38	18	20
ROD_RS02020	117	57	60
ROD_RS02025	472	467	5
ROD_RS02030	138	130	8
ROD_RS02035	49	29	20
ROD_RS02040	770	2	768
ROD_RS02045	134	42	92
ROD_RS02050	207	52	155
ROD_RS02055	100	99	1
ROD_RS02060	68	68	0
ROD_RS02065	77	48	29
ROD_RS02070	42	35	7
ROD_RS02075	16	5	11
ROD_RS02080	16	2	14
ROD_RS02085	13	2	11
ROD_RS02090	73	46	27
ROD_RS02095	1591	1507	84
ROD_RS02100	2234	45	2189
ROD_RS02105	38	23	15
ROD_RS02110	484	467	17
ROD_RS02115	112	21	91
ROD_RS02120	239	3	236
ROD_RS02125	107	22	85
ROD_RS02130	81	35	46
ROD_RS02135	1184	1069	115
ROD_RS02140	73	9	64
ROD_RS02145	699	80	619
ROD_RS02150	122	15	107
ROD_RS02155	294	9	285
ROD_RS02160	48	4	44
ROD_RS02165	232	205	27
ROD_RS02170	1145	1140	5
ROD_RS02175	125	0	125
ROD_RS02180	256	10	246
ROD_RS02185	97	4	93
ROD_RS02190	225	34	191
ROD_RS02195	240	149	91
ROD_RS02200	1515	1482	33
ROD_RS02205	462	23	439
ROD_RS02210	156	16	140
ROD_RS02215	0	0	0
ROD_RS02220	837	823	14
ROD_RS02225	381	368	13
ROD_RS02230	134	5	129
ROD_RS02235	211	20	191
ROD_RS02240	1204	5	1199
ROD_RS02245	588	17	571
ROD_RS02250	279	3	276
ROD_RS02255	1205	6	1199
ROD_RS02260	254	3	251
ROD_RS02265	2831	2781	50
ROD_RS02270	315	311	4
ROD_RS02275	662	8	654
ROD_RS02280	2004	3	2001
ROD_RS02285	1343	8	1335
ROD_RS02290	5769	14	5755
ROD_RS02295	1843	4	1839
ROD_RS02300	120	0	120
ROD_RS02305	387	214	173
ROD_RS02310	1601	1553	48
ROD_RS02315	130	120	10
ROD_RS02320	263	4	259
ROD_RS02325	1918	16	1902
ROD_RS02330	1829	1	1828
