N_unmapped	825518	825518	825518
N_multimapping	221672	221672	221672
N_noFeature	100806	6659952	6107804
N_ambiguous	1322815	555564	781936
ROD_RS00010	69	0	69
ROD_RS00015	5182	25	5157
ROD_RS00020	1288	3	1285
ROD_RS00025	2733	83	2650
ROD_RS00030	1050	873	177
ROD_RS00035	180	133	47
ROD_RS00040	17236	65	17171
ROD_RS00045	558	7	551
ROD_RS00050	364	10	354
ROD_RS00055	74	47	27
ROD_RS00060	28382	25	28357
ROD_RS00065	3111	10	3101
ROD_RS00070	26	8	18
ROD_RS00075	2	1	1
ROD_RS00080	29	21	8
ROD_RS00085	5	4	1
ROD_RS00090	438	132	306
ROD_RS28850	2	1	1
ROD_RS28855	6	0	6
ROD_RS00095	3427	16	3411
ROD_RS00100	1412	3	1409
ROD_RS00105	559	118	441
ROD_RS00110	18	9	9
ROD_RS00115	3505	3500	5
ROD_RS28860	25	16	9
ROD_RS00125	2088	6	2082
ROD_RS00130	19353	54	19299
ROD_RS00135	2841	7	2834
ROD_RS00140	1569	0	1569
ROD_RS00145	1562	5	1557
ROD_RS00150	311	9	302
ROD_RS00155	27	23	4
ROD_RS00160	37	28	9
ROD_RS00165	8	6	2
ROD_RS00170	12	11	1
ROD_RS00175	51	41	10
ROD_RS00180	96	5	91
ROD_RS00185	545	3	542
ROD_RS00190	3052	12	3040
ROD_RS00195	6990	19	6971
ROD_RS00200	15	7	8
ROD_RS00205	84	57	27
ROD_RS00210	100	87	13
ROD_RS00215	58	52	6
ROD_RS00220	104	93	11
ROD_RS00225	59	23	36
ROD_RS00235	23	0	23
ROD_RS00240	42	0	42
ROD_RS00245	47	2	45
ROD_RS00250	26	18	8
ROD_RS00255	3	3	0
ROD_RS00260	363	18	345
ROD_RS00265	58	1	57
ROD_RS00270	170	117	53
ROD_RS28865	6	2	4
ROD_RS00275	154	1	153
ROD_RS00280	1055	2	1053
ROD_RS00285	487	97	390
ROD_RS00290	1686	1573	113
ROD_RS00295	774	771	3
ROD_RS00300	2690	2686	4
ROD_RS00305	3780	3712	68
ROD_RS00310	8459	8448	11
ROD_RS00315	9604	9547	57
ROD_RS00320	1042	2	1040
ROD_RS00325	597	281	316
ROD_RS00330	1558	1534	24
ROD_RS00335	703	691	12
ROD_RS00340	3	0	3
ROD_RS00345	29	11	18
ROD_RS00350	26	16	10
ROD_RS00355	31	14	17
ROD_RS00360	161	2	159
ROD_RS00365	715	24	691
ROD_RS00370	221	131	90
ROD_RS00375	160	123	37
ROD_RS00380	293	285	8
ROD_RS00385	784	714	70
ROD_RS00390	7	0	7
ROD_RS00395	250	7	243
ROD_RS00400	463	447	16
ROD_RS00405	1317	1299	18
ROD_RS00410	1751	1738	13
ROD_RS00415	2082	2077	5
ROD_RS00425	255	4	251
ROD_RS00430	4568	15	4553
ROD_RS00435	534	15	519
ROD_RS00440	3183	16	3167
ROD_RS00445	1262	4	1258
ROD_RS00450	1742	3	1739
ROD_RS00455	289	11	278
ROD_RS00460	1130	13	1117
ROD_RS00465	3120	11	3109
ROD_RS00470	2568	6	2562
ROD_RS00475	1534	2	1532
ROD_RS00480	1759	3	1756
ROD_RS00485	862	3	859
ROD_RS00490	1274	5	1269
ROD_RS00495	3768	7	3761
ROD_RS00500	1220	1	1219
ROD_RS00505	420	1	419
ROD_RS00510	3060	3	3057
ROD_RS00515	15997	16	15981
ROD_RS00520	20412	16	20396
ROD_RS00525	1539	16	1523
ROD_RS00530	11111	14	11097
ROD_RS00535	254	58	196
ROD_RS00540	177	128	49
ROD_RS00545	1986	1947	39
ROD_RS00550	779	769	10
ROD_RS00555	2863	9	2854
ROD_RS00560	108	35	73
ROD_RS00565	33	23	10
ROD_RS00570	7	6	1
ROD_RS00575	2459	2445	14
ROD_RS00580	652	275	377
ROD_RS00585	495	5	490
ROD_RS00590	199	95	104
ROD_RS00595	84	39	45
ROD_RS00600	2731	2705	26
ROD_RS00605	4431	0	4431
ROD_RS00610	114536	135	114401
ROD_RS00615	47560	31	47529
ROD_RS00620	51532	53	51479
ROD_RS00625	52	28	24
ROD_RS00630	142	113	29
ROD_RS00635	12624	31	12593
ROD_RS00640	11	0	11
ROD_RS00645	17	1	16
ROD_RS00650	54	4	50
ROD_RS00655	150	1	149
ROD_RS00660	980	27	953
ROD_RS27910	148	108	40
ROD_RS00665	2234	2100	134
ROD_RS00670	2400	2328	72
ROD_RS00675	323	314	9
ROD_RS00680	453	12	441
ROD_RS00685	19	19	0
ROD_RS00690	3587	3546	41
ROD_RS00695	1057	224	833
ROD_RS00700	6881	6630	251
ROD_RS00705	748	7	741
ROD_RS00710	677	7	670
ROD_RS00715	38	4	34
ROD_RS00720	266	50	216
ROD_RS00725	3543	3522	21
ROD_RS00730	4425	4398	27
ROD_RS00735	1204	1199	5
ROD_RS00740	682	645	37
ROD_RS00745	4278	4255	23
ROD_RS00750	577	554	23
ROD_RS00755	592	588	4
ROD_RS00760	672	635	37
ROD_RS00765	276	242	34
ROD_RS00770	1116	27	1089
ROD_RS00775	3243	107	3136
ROD_RS00780	16510	27	16483
ROD_RS00785	1603	5	1598
ROD_RS00790	1581	2	1579
ROD_RS00795	2089	104	1985
ROD_RS00800	2692	2527	165
ROD_RS00805	328	5	323
ROD_RS00810	1154	32	1122
ROD_RS00815	395	159	236
ROD_RS00820	701	699	2
